field_key,source_table,source_column,product_id,product_image_id,product_code,legacy_kimchi_slug,product_slug,image_file,source_url,target_url,source_http_status,source_http_ok,source_content_type,source_content_length,notes
product_images:0aaec8c0-0751-4308-bdf3-0a57aa293b8f:image_large_url,product_images,image_large_url,95c9206b-d8dc-42d6-b28c-ad31b5a7f0ea,0aaec8c0-0751-4308-bdf3-0a57aa293b8f,ADG-000024,KIMCHI-77,pasta-shinshu-shiro-miso-jasna-400g-hikari-miso,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-77/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000024/1.webp,200,true,image/webp,55490,
products:12ce76e0-949b-4a99-acde-fb8643d64880:image_url,products,image_url,12ce76e0-949b-4a99-acde-fb8643d64880,,ADG-000025,KIMCHI-78,wodorosty-kombu-100g-asia-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-78/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000025/1.webp,200,true,image/webp,73032,
product_images:3496e338-c5de-4b13-ba50-4c1e6754f892:image_large_url,product_images,image_large_url,12ce76e0-949b-4a99-acde-fb8643d64880,3496e338-c5de-4b13-ba50-4c1e6754f892,ADG-000025,KIMCHI-78,wodorosty-kombu-100g-asia-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-78/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000025/1.webp,200,true,image/webp,73032,
products:d46874ee-6b6d-4f06-8a62-846e63d82202:image_url,products,image_url,d46874ee-6b6d-4f06-8a62-846e63d82202,,ADG-000026,KIMCHI-82,sezam-bialy-prazony-do-sushi-500g,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-82/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000026/1.webp,200,true,image/webp,57358,
product_images:10bd6233-66e3-4589-ada6-7c9925c090ab:image_large_url,product_images,image_large_url,d46874ee-6b6d-4f06-8a62-846e63d82202,10bd6233-66e3-4589-ada6-7c9925c090ab,ADG-000026,KIMCHI-82,sezam-bialy-prazony-do-sushi-500g,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-82/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000026/1.webp,200,true,image/webp,57358,
products:cfbfcf6b-f828-4469-a104-5b67e3fdedc7:image_url,products,image_url,cfbfcf6b-f828-4469-a104-5b67e3fdedc7,,ADG-000027,KIMCHI-83,sezam-czarny-do-sushi-500g,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-83/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000027/1.webp,200,true,image/webp,45332,
product_images:9a423659-268c-4d78-a8c8-36ff3b3c3aa7:image_large_url,product_images,image_large_url,cfbfcf6b-f828-4469-a104-5b67e3fdedc7,9a423659-268c-4d78-a8c8-36ff3b3c3aa7,ADG-000027,KIMCHI-83,sezam-czarny-do-sushi-500g,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-83/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000027/1.webp,200,true,image/webp,45332,
products:145221e5-27fc-46ed-9241-509572131c61:image_url,products,image_url,145221e5-27fc-46ed-9241-509572131c61,,ADG-000028,KIMCHI-84,rzodkiew-oshinko-takuan-marynowana-w-zalewie-1kg,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-84/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000028/1.webp,200,true,image/webp,61236,
product_images:08b52728-03b2-4667-8a08-2d152275df71:image_large_url,product_images,image_large_url,145221e5-27fc-46ed-9241-509572131c61,08b52728-03b2-4667-8a08-2d152275df71,ADG-000028,KIMCHI-84,rzodkiew-oshinko-takuan-marynowana-w-zalewie-1kg,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-84/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000028/1.webp,200,true,image/webp,61236,
products:c34fca7b-a731-46a9-b8cb-4c593ab189ce:image_url,products,image_url,c34fca7b-a731-46a9-b8cb-4c593ab189ce,,ADG-000029,KIMCHI-85,grzyby-shiitake-suszone-50g-asia-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-85/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000029/1.webp,200,true,image/webp,82560,
